Bodenfläche qkm,Stichtag,Bundesländer,Nutzungsarten
"3357,85",31.12.2021,Baden-Württemberg,Siedlung
"1584,34",31.12.2021,Baden-Württemberg,Wohnbaufläche
"748,31",31.12.2021,Baden-Württemberg,Industrie- und Gewerbefläche
"530,66",31.12.2021,Baden-Württemberg,Industrie und Gewerbe
"13,81",31.12.2021,Baden-Württemberg,Halde
"72,03",31.12.2021,Baden-Württemberg,"Tagebau, Grube, Steinbruch"
"349,61",31.12.2021,Baden-Württemberg,Fläche gemischter Nutzung
"168,54",31.12.2021,Baden-Württemberg,Fläche besonderer funktionaler Prägung
"384,13",31.12.2021,Baden-Württemberg,"Sport-, Freizeit- und Erholungsfläche"
"171,17",31.12.2021,Baden-Württemberg,Grünanlage
"37,07",31.12.2021,Baden-Württemberg,Friedhof
