Siedlungs- und Verkehrsfläche qkm,Stichtag,Nutzungsarten
"20733,340",31.12.1992,Gebäude- und Freifläche
"549,710",31.12.1992,Betriebsfläche ohne Abbauland
"2254,740",31.12.1992,Erholungsfläche
"16440,840",31.12.1992,Verkehrsfläche
"326,590",31.12.1992,Friedhof
"21937,342",31.12.1996,Gebäude- und Freifläche
"619,988",31.12.1996,Betriebsfläche ohne Abbauland
"2373,855",31.12.1996,Erholungsfläche
"16785,612",31.12.1996,Verkehrsfläche
"335,362",31.12.1996,Friedhof
"23080,785",31.12.2000,Gebäude- und Freifläche
