Siedlungs- und Verkehrsfläche qkm,Stichtag,Bundesländer,Nutzungsarten
"2787,770",31.12.2015,Baden-Württemberg,Gebäude- und Freifläche
"44,030",31.12.2015,Baden-Württemberg,Betriebsfläche ohne Abbauland
"314,740",31.12.2015,Baden-Württemberg,Erholungsfläche
"1975,420",31.12.2015,Baden-Württemberg,Verkehrsfläche
"36,880",31.12.2015,Baden-Württemberg,Friedhof
"4339,968",31.12.2015,Bayern,Gebäude- und Freifläche
"203,859",31.12.2015,Bayern,Betriebsfläche ohne Abbauland
"510,629",31.12.2015,Bayern,Erholungsfläche
"3303,197",31.12.2015,Bayern,Verkehrsfläche
"41,545",31.12.2015,Bayern,Friedhof
"370,369",31.12.2015,Berlin,Gebäude- und Freifläche
