Landwirtschaftlich genutzte Fläche 1000 ha,Jahr,Rechtsform,Landwirtschaftliche Betriebe 1000,Größenklassen d. landwirtschaftl. genutzten Fläche
"18,4",2007,Einzelunternehmen,"22,3",unter 2 ha
"192,0",2007,Einzelunternehmen,"57,2",2 bis unter 5 ha
"361,7",2007,Einzelunternehmen,"49,6",5 bis unter 10 ha
"1001,7",2007,Einzelunternehmen,"67,1",10 bis unter 20 ha
"819,9",2007,Einzelunternehmen,"32,9",20 bis unter 30 ha
"1797,0",2007,Einzelunternehmen,"45,9",30 bis unter 50 ha
"3385,3",2007,Einzelunternehmen,"48,5",50 bis unter 100 ha
"3999,0",2007,Einzelunternehmen,"22,8",100 und mehr ha
"11575,0",2007,Einzelunternehmen,"346,3",Insgesamt
"4,9",2007,"Einzelunternehmen, Haupterwerb","6,7",unter 2 ha
"20,6",2007,"Einzelunternehmen, Haupterwerb","6,1",2 bis unter 5 ha
