Jahr,Rechtsform,Arbeitskräftegruppen,Arbeitskräfte 1000,Geschlecht,Größenklassen d. landwirtschaftl. genutzten Fläche
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"42,9",männlich,unter 2 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"76,4",männlich,2 bis unter 5 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"74,8",männlich,5 bis unter 10 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"108,4",männlich,10 bis unter 20 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"58,4",männlich,20 bis unter 30 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"84,6",männlich,30 bis unter 50 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"104,8",männlich,50 bis unter 100 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"78,4",männlich,100 und mehr ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"628,6",männlich,Insgesamt
2007,"Einzelunternehmen, Haupterwerb",Arbeitskräfte insgesamt,"15,6",männlich,unter 2 ha
2007,"Einzelunternehmen, Haupterwerb",Arbeitskräfte insgesamt,"16,1",männlich,2 bis unter 5 ha
