Jahr,Rechtsform,Betriebliche Arbeitsleistung Tsd. AKE,Arbeitskräftegruppen,Größenklassen d. landwirtschaftl. genutzten Fläche
2007,Einzelunternehmen,"25,3",Arbeitskräfte insgesamt,unter 2 ha
2007,Einzelunternehmen,"30,5",Arbeitskräfte insgesamt,2 bis unter 5 ha
2007,Einzelunternehmen,"35,4",Arbeitskräfte insgesamt,5 bis unter 10 ha
2007,Einzelunternehmen,"62,2",Arbeitskräfte insgesamt,10 bis unter 20 ha
2007,Einzelunternehmen,"41,4",Arbeitskräfte insgesamt,20 bis unter 30 ha
2007,Einzelunternehmen,"66,9",Arbeitskräfte insgesamt,30 bis unter 50 ha
2007,Einzelunternehmen,"85,2",Arbeitskräfte insgesamt,50 bis unter 100 ha
2007,Einzelunternehmen,"58,9",Arbeitskräfte insgesamt,100 und mehr ha
2007,Einzelunternehmen,"405,8",Arbeitskräfte insgesamt,Insgesamt
2007,"Einzelunternehmen, Haupterwerb","18,7",Arbeitskräfte insgesamt,unter 2 ha
2007,"Einzelunternehmen, Haupterwerb","13,0",Arbeitskräfte insgesamt,2 bis unter 5 ha
