Jahr,Rechtsform,Betriebliche Arbeitsleistung Tsd. AKE,Arbeitskräftegruppen,Geschlecht,Größenklassen d. landwirtschaftl. genutzten Fläche
1995,Einzelunternehmen,"13,2",Arbeitskräfte insgesamt,männlich,unter 1 ha
1995,Einzelunternehmen,"18,0",Arbeitskräfte insgesamt,männlich,1 bis unter 2 ha
1995,Einzelunternehmen,"33,5",Arbeitskräfte insgesamt,männlich,2 bis unter 5 ha
1995,Einzelunternehmen,"41,4",Arbeitskräfte insgesamt,männlich,5 bis unter 10 ha
1995,Einzelunternehmen,"72,1",Arbeitskräfte insgesamt,männlich,10 bis unter 20 ha
1995,Einzelunternehmen,"63,1",Arbeitskräfte insgesamt,männlich,20 bis unter 30 ha
1995,Einzelunternehmen,"80,6",Arbeitskräfte insgesamt,männlich,30 bis unter 50 ha
1995,Einzelunternehmen,"72,2",Arbeitskräfte insgesamt,männlich,50 bis unter 100 ha
1995,Einzelunternehmen,"44,7",Arbeitskräfte insgesamt,männlich,100 und mehr ha
1995,Einzelunternehmen,"438,9",Arbeitskräfte insgesamt,männlich,Insgesamt
1995,"Einzelunternehmen, Haupterwerb","8,7",Arbeitskräfte insgesamt,männlich,unter 1 ha
