Landwirtschaftlich genutzte Fläche 1000 ha,Jahr,Rechtsform,Landwirtschaftliche Betriebe 1000,Bundesländer,Größenklassen d. landwirtschaftl. genutzten Fläche
"6,7",2007,Einzelunternehmen,"7,9",Baden-Württemberg,unter 2 ha
"29,8",2007,Einzelunternehmen,"9,0",Baden-Württemberg,2 bis unter 5 ha
"59,4",2007,Einzelunternehmen,"8,3",Baden-Württemberg,5 bis unter 10 ha
"138,5",2007,Einzelunternehmen,"9,5",Baden-Württemberg,10 bis unter 20 ha
"118,3",2007,Einzelunternehmen,"4,8",Baden-Württemberg,20 bis unter 30 ha
"231,3",2007,Einzelunternehmen,"5,9",Baden-Württemberg,30 bis unter 50 ha
"378,6",2007,Einzelunternehmen,"5,5",Baden-Württemberg,50 bis unter 100 ha
"274,0",2007,Einzelunternehmen,"1,9",Baden-Württemberg,100 und mehr ha
"1236,5",2007,Einzelunternehmen,"52,6",Baden-Württemberg,Insgesamt
"0,8",2007,"Einzelunternehmen, Haupterwerb","1,0",Baden-Württemberg,unter 2 ha
"3,3",2007,"Einzelunternehmen, Haupterwerb","1,0",Baden-Württemberg,2 bis unter 5 ha
