Jahr,Rechtsform,Arbeitskräftegruppen,Arbeitskräfte 1000,Bundesländer,Geschlecht,Größenklassen d. landwirtschaftl. genutzten Fläche
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"18,7",Baden-Württemberg,männlich,unter 2 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"16,2",Baden-Württemberg,männlich,2 bis unter 5 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"15,5",Baden-Württemberg,männlich,5 bis unter 10 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"19,5",Baden-Württemberg,männlich,10 bis unter 20 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"11,1",Baden-Württemberg,männlich,20 bis unter 30 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"13,5",Baden-Württemberg,männlich,30 bis unter 50 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"14,4",Baden-Württemberg,männlich,50 bis unter 100 ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"6,5",Baden-Württemberg,männlich,100 und mehr ha
2007,Einzelunternehmen,Arbeitskräfte insgesamt,"115,4",Baden-Württemberg,männlich,Insgesamt
2007,"Einzelunternehmen, Haupterwerb",Arbeitskräfte insgesamt,"2,6",Baden-Württemberg,männlich,unter 2 ha
2007,"Einzelunternehmen, Haupterwerb",Arbeitskräfte insgesamt,"3,7",Baden-Württemberg,männlich,2 bis unter 5 ha
