Jahr,Rechtsform,Betriebliche Arbeitsleistung Tsd. AKE,Arbeitskräftegruppen,Bundesländer,Größenklassen d. landwirtschaftl. genutzten Fläche
2007,Einzelunternehmen,"5,6",Arbeitskräfte insgesamt,Baden-Württemberg,unter 2 ha
2007,Einzelunternehmen,"5,4",Arbeitskräfte insgesamt,Baden-Württemberg,2 bis unter 5 ha
2007,Einzelunternehmen,"6,3",Arbeitskräfte insgesamt,Baden-Württemberg,5 bis unter 10 ha
2007,Einzelunternehmen,"9,5",Arbeitskräfte insgesamt,Baden-Württemberg,10 bis unter 20 ha
2007,Einzelunternehmen,"6,2",Arbeitskräfte insgesamt,Baden-Württemberg,20 bis unter 30 ha
2007,Einzelunternehmen,"9,2",Arbeitskräfte insgesamt,Baden-Württemberg,30 bis unter 50 ha
2007,Einzelunternehmen,"10,2",Arbeitskräfte insgesamt,Baden-Württemberg,50 bis unter 100 ha
2007,Einzelunternehmen,"4,9",Arbeitskräfte insgesamt,Baden-Württemberg,100 und mehr ha
2007,Einzelunternehmen,"57,2",Arbeitskräfte insgesamt,Baden-Württemberg,Insgesamt
2007,"Einzelunternehmen, Haupterwerb","2,7",Arbeitskräfte insgesamt,Baden-Württemberg,unter 2 ha
2007,"Einzelunternehmen, Haupterwerb","2,2",Arbeitskräfte insgesamt,Baden-Württemberg,2 bis unter 5 ha
