Jahr,Rechtsform,Betriebliche Arbeitsleistung Tsd. AKE,Arbeitskräftegruppen,Bundesländer,Geschlecht,Größenklassen d. landwirtschaftl. genutzten Fläche
1995,Einzelunternehmen,"2,1",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,unter 1 ha
1995,Einzelunternehmen,"3,5",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,1 bis unter 2 ha
1995,Einzelunternehmen,"6,2",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,2 bis unter 5 ha
1995,Einzelunternehmen,"8,0",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,5 bis unter 10 ha
1995,Einzelunternehmen,"11,8",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,10 bis unter 20 ha
1995,Einzelunternehmen,"9,3",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,20 bis unter 30 ha
1995,Einzelunternehmen,"10,1",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,30 bis unter 50 ha
1995,Einzelunternehmen,"7,8",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,50 bis unter 100 ha
1995,Einzelunternehmen,"1,8",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,100 und mehr ha
1995,Einzelunternehmen,"60,6",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,Insgesamt
1995,"Einzelunternehmen, Haupterwerb","0,8",Arbeitskräfte insgesamt,Baden-Württemberg,männlich,unter 1 ha
