Jahr,Bodennutzungsarten,Landwirtschaftliche Betriebe Anzahl,Fläche ha
2020,Betriebsfläche,262776,18314400
2020,Landwirtschaftlich genutzte Fläche,258853,16595024
2020,Ackerland,193594,11663811
2020,Getreide zur Körnergewinnung,158783,6074865
2020,Weizen,117413,2835511
2020,Winterweizen (einschließlich Dinkel und Einkorn),114119,2758732
2020,Sommerweizen,6287,42769
2020,Hartweizen (Durum),2834,34009
2020,Roggen und Wintermenggetreide,33743,635962
2020,Triticale,35657,341296
2020,Gerste,106783,1667310
