Jahr,Bodennutzungsarten,Landwirtschaftliche Betriebe Anzahl,Fläche ha,Größenklassen der LF
2020,Betriebsfläche,21487,68077,unter 5 ha
2020,Betriebsfläche,44766,515549,5 bis unter 10 ha
2020,Betriebsfläche,52568,1053444,10 bis unter 20 ha
2020,Betriebsfläche,61065,2425956,20 bis unter 50 ha
2020,Betriebsfläche,44737,3488488,50 bis unter 100 ha
2020,Betriebsfläche,24897,3599730,100 bis unter 200 ha
2020,Betriebsfläche,9355,2856011,200 bis unter 500 ha
2020,Betriebsfläche,2423,1791764,500 bis unter 1000 ha
2020,Betriebsfläche,1478,2515380,1000 und mehr ha
2020,Betriebsfläche,262776,18314400,Insgesamt
2020,Landwirtschaftlich genutzte Fläche,17564,36601,unter 5 ha
