Geleistete Arbeitsstunden 1000,Umsatz Tsd. EUR,Beschäftigte Anzahl,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,"WZ2008 (Hauptgruppen, Aggregate): Verarb. Gewerbe",Auslandsumsatz Tsd. EUR,Betriebe,Betriebe Anzahl,Auslandsumsatz mit der Eurozone Tsd. EUR
7888114,1350424877,5104455,769015490,2005,200924647,305320435,Bergbau und Verarbeitendes Gewerbe,581409384,Betriebe,22168,276088952
3058348,440788967,1950167,247142347,2005,73855757,92774895,Vorleistungsgüter,193646620,Betriebe,9653,100871726
3216052,567323845,2111181,249814815,2005,92016241,183981688,Investitionsgüter,317509031,Betriebe,7090,133527343
282554,36250783,187184,22743268,2005,6482579,5721203,Gebrauchsgüter,13507514,Betriebe,914,7786310
1222222,209015645,779940,157426831,2005,25340079,20834553,Verbrauchsgüter,51588818,Betriebe,4396,30754265
108935,97045635,75984,91888232,2005,3229992,2008096,Energie (ohne Abschnitt D),5157403,Betriebe,114,3149310
106516,8875851,72304,7700754,2005,2860280,595929,Bergbau und Gewinnung von Steinen und Erden,1175099,Betriebe,177,579170
7781597,1341549023,5032151,761314738,2005,198064369,304724505,Verarbeitendes Gewerbe,580234283,Betriebe,21990,275509779
7909378,1442071256,5079139,800818047,2006,204868287,342439121,Bergbau und Verarbeitendes Gewerbe,641253208,Betriebe,21988,298814089
3057982,487071779,1930966,271301048,2006,74417415,105733631,Vorleistungsgüter,215770733,Betriebe,9612,110037099
3229759,611219807,2104656,263545142,2006,95278710,204602302,Investitionsgüter,347674665,Betriebe,6985,143072363
