Geleistete Arbeitsstunden 1000,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Betriebe,Betriebe Anzahl,Auslandsumsatz mit der Eurozone Tsd. EUR,Umsatz Tsd. EUR,Beschäftigte Anzahl,Monate,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,"WZ2008 (Hauptgruppen, Aggregate): Verarb. Gewerbe",Auslandsumsatz Tsd. EUR
673114,78023535,2022,24275509,Betriebe,22287,32162076,154387145,5479979,Januar,44201534,Bergbau und Verarbeitendes Gewerbe,76363610
684248,81285458,2022,24868959,Betriebe,22597,33816010,164323812,5502842,Februar,49222343,Bergbau und Verarbeitendes Gewerbe,83038353
745467,95020851,2022,24965718,Betriebe,22660,38505887,189104704,5508703,März,55577966,Bergbau und Verarbeitendes Gewerbe,94083853
648090,84648976,2022,26606131,Betriebe,22667,33719005,165669369,5506556,April,47301388,Bergbau und Verarbeitendes Gewerbe,81020393
696064,92601508,2022,27384127,Betriebe,22652,37534323,183861770,5509461,Mai,53725940,Bergbau und Verarbeitendes Gewerbe,91260263
666060,94983742,2022,26825839,Betriebe,22638,38813545,189083976,5518349,Juni,55286690,Bergbau und Verarbeitendes Gewerbe,94100234
657937,89164718,2022,25975373,Betriebe,22627,34126757,175241865,5522882,Juli,51950389,Bergbau und Verarbeitendes Gewerbe,86077146
657142,89868147,2022,23923129,Betriebe,22618,32518041,176472359,5547206,August,54086172,Bergbau und Verarbeitendes Gewerbe,86604213
703237,98639245,2022,24219468,Betriebe,22600,39488192,198862623,5573850,September,60735186,Bergbau und Verarbeitendes Gewerbe,100223378
257954,29894499,2022,8747414,Betriebe,9842,13812255,58346548,2048935,Januar,14639794,Vorleistungsgüter,28452048
258448,31341774,2022,8538326,Betriebe,9990,13986820,60418485,2059273,Februar,15089890,Vorleistungsgüter,29076710
