Geleistete Arbeitsstunden 1000,Umsatz Tsd. EUR,Beschäftigte Anzahl,WZ2008 (2-Steller): Verarbeitendes Gewerbe,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,Auslandsumsatz Tsd. EUR,Betriebe,Betriebe Anzahl,Auslandsumsatz mit der Eurozone Tsd. EUR
24251,2440067,14375,"Gewinnung von Steinen und Erden, sonstiger Bergbau",1540874,2005,526560,453425,899194,Betriebe,103,445767
3343,370335,1775,Dienstleistungen f.d.Bergbau u.Gewinnung v.Steinen,254988,2005,76325,75747,115346,Betriebe,9,39601
592850,101732204,372597,Herstellung von Nahrungs- und Futtermitteln,84509948,2005,9906184,3976717,17222253,Betriebe,2277,13245538
92869,17256785,56017,Getränkeherstellung,15997916,2005,2087481,393457,1258870,Betriebe,356,865413
15397,17639894,9558,Tabakverarbeitung,16045950,2005,463111,666249,1593943,Betriebe,23,927694
106343,10424905,68943,Herstellung von Textilien,5962193,2005,2012761,1746437,4462713,Betriebe,497,2716276
54634,7562652,37126,Herstellung von Bekleidung,4950075,2005,1042894,889300,2612576,Betriebe,250,1723276
23097,2642008,14449,"Herstellung von Leder, Lederwaren und Schuhen",1858416,2005,420609,332558,783594,Betriebe,98,451035
95725,12728143,59513,"H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel)",9099087,2005,1811494,1520274,3629055,Betriebe,440,2108781
198323,30833234,127020,"Herstellung von Papier, Pappe und Waren daraus",18679338,2005,4605272,4997505,12153896,Betriebe,657,7156394
135690,14190128,89181,"H.v. Druckerz., Vervielf.v.Ton-,Bild-,Datenträgern",11987205,2005,3185057,722320,2202924,Betriebe,679,1480601
