Geleistete Arbeitsstunden 1000,WZ2008 (2-Steller): Verarbeitendes Gewerbe,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Betriebe,Betriebe Anzahl,Auslandsumsatz mit der Eurozone Tsd. EUR,Umsatz Tsd. EUR,Beschäftigte Anzahl,Monate,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,Auslandsumsatz Tsd. EUR
1360,"Gewinnung von Steinen und Erden, sonstiger Bergbau",127600,2022,42300,Betriebe,95,22859,167342,10824,Januar,16883,39742
1389,"Gewinnung von Steinen und Erden, sonstiger Bergbau",126970,2022,40822,Betriebe,95,25701,167124,10852,Februar,14453,40154
1560,"Gewinnung von Steinen und Erden, sonstiger Bergbau",161756,2022,44182,Betriebe,98,26789,204736,11132,März,16190,42979
1474,"Gewinnung von Steinen und Erden, sonstiger Bergbau",155624,2022,46516,Betriebe,98,23928,192866,11230,April,13315,37242
1529,"Gewinnung von Steinen und Erden, sonstiger Bergbau",170854,2022,47450,Betriebe,98,21902,206240,11222,Mai,13485,35387
1482,"Gewinnung von Steinen und Erden, sonstiger Bergbau",166497,2022,51051,Betriebe,98,21906,206148,11180,Juni,17744,39650
1456,"Gewinnung von Steinen und Erden, sonstiger Bergbau",164468,2022,45436,Betriebe,98,21568,201903,11234,Juli,15867,37435
1509,"Gewinnung von Steinen und Erden, sonstiger Bergbau",169811,2022,44062,Betriebe,98,19057,206451,11257,August,17582,36640
1535,"Gewinnung von Steinen und Erden, sonstiger Bergbau",171212,2022,45255,Betriebe,98,21992,212018,11279,September,18813,40805
60170,Herstellung von Nahrungs- und Futtermitteln,9015288,2022,1358217,Betriebe,2325,2136363,12134850,474406,Januar,983199,3119562
58616,Herstellung von Nahrungs- und Futtermitteln,9332647,2022,1334256,Betriebe,2361,2139098,12497652,477590,Februar,1025906,3165005
