Geleistete Arbeitsstunden 1000,Umsatz Tsd. EUR,Beschäftigte Anzahl,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,Auslandsumsatz Tsd. EUR,Betriebe,WZ2008 (2-4-Steller): Verarbeitendes Gewerbe,Betriebe Anzahl,Auslandsumsatz mit der Eurozone Tsd. EUR
17237,2202085,10701,1793170,2021,526199,167902,408915,Betriebe,"Gewinnung von Steinen und Erden, sonstiger Bergbau",93,241015
12146,1360315,7417,1208772,2021,345693,45710,151545,Betriebe,"Gewinnung von Natursteinen,Kies,Sand,Ton u. Kaolin",70,105833
4669,584878,2781,547067,2021,125507,14464,37811,Betriebe,"Gew. von Natursteinen,Kalk-u.Gipsstein,Kreide usw",30,23348
7477,775440,4636,661705,2021,220189,31248,113735,Betriebe,"Gewinnung von Kies, Sand, Ton und Kaolin",41,82486
5092,841766,3285,584396,2021,180505,122186,257370,Betriebe,"Sonst. Bergbau, Gewinnung v.Steinen u.Erden a.n.g.",23,135181
869,138216,519,93627,2021,22264,11964,44588,Betriebe,Torfgewinnung,8,32627
3654,648037,2387,458067,2021,140020,96048,189971,Betriebe,Gewinnung von Salz,10,93923
722074,146152899,472859,109592415,2021,16534731,11857106,36560485,Betriebe,Herstellung von Nahrungs- und Futtermitteln,2348,24703382
198705,35504894,119890,29430601,2021,3537336,1791820,6074291,Betriebe,Schlachten und Fleischverarbeitung,505,4282472
53058,13182004,31260,10455032,2021,942681,849521,2726968,Betriebe,Schlachten (ohne Schlachten von Geflügel),104,1877446
27909,4275554,16507,3512017,2021,446218,171025,763537,Betriebe,Schlachten von Geflügel,39,592515
