Geleistete Arbeitsstunden 1000,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Betriebe,Betriebe Anzahl,Früheres Bundesgebiet / Neue Länder,Auslandsumsatz mit der Eurozone Tsd. EUR,Umsatz Tsd. EUR,Beschäftigte Anzahl,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,"WZ2008 (Hauptgruppen, Aggregate): Verarb. Gewerbe",Auslandsumsatz Tsd. EUR
6956190,674528726,2005,184263294,Betriebe,18593,Früheres Bundesgebiet,256415693,1214805591,4541753,283861170,Bergbau und Verarbeitendes Gewerbe,540276862
2675566,217066365,2005,67075780,Betriebe,8112,Früheres Bundesgebiet,93029957,393870571,1719773,83774247,Vorleistungsgüter,176804202
2914250,227585901,2005,86168382,Betriebe,5989,Früheres Bundesgebiet,125945980,529351685,1928535,175819805,Investitionsgüter,301765786
1021753,125722364,2005,22264859,Betriebe,3599,Früheres Bundesgebiet,27511733,170437157,659289,17203059,Verbrauchsgüter,44714792
87400,6245202,2005,2400803,Betriebe,143,Früheres Bundesgebiet,420918,6941518,59922,275398,Bergbau und Gewinnung von Steinen und Erden,696317
6868791,668283525,2005,181862490,Betriebe,18449,Früheres Bundesgebiet,255994774,1207864072,4481831,283585774,Verarbeitendes Gewerbe,539580548
931919,94486766,2005,16661354,Betriebe,3575,Neue Länder,19673259,135619288,562703,21459263,Bergbau und Verarbeitendes Gewerbe,41132521
382784,30075981,2005,6779981,Betriebe,1541,Neue Länder,7841767,46918397,230393,9000648,Vorleistungsgüter,16842418
301802,22228913,2005,5847860,Betriebe,1102,Neue Länder,7581363,37972159,182645,8161883,Investitionsgüter,15743246
200471,31704465,2005,3075218,Betriebe,797,Neue Länder,3242530,38578489,120651,3631492,Verbrauchsgüter,6874023
19116,1455551,2005,459476,Betriebe,34,Neue Länder,158249,1934335,12382,320531,Bergbau und Gewinnung von Steinen und Erden,478782
