Geleistete Arbeitsstunden 1000,WZ2008 (2-Steller): Verarbeitendes Gewerbe,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Betriebe,Betriebe Anzahl,Früheres Bundesgebiet / Neue Länder,Auslandsumsatz mit der Eurozone Tsd. EUR,Umsatz Tsd. EUR,Beschäftigte Anzahl,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,Auslandsumsatz Tsd. EUR
476480,Herstellung von Nahrungs- und Futtermitteln,68683550,2005,8549124,Betriebe,1778,Früheres Bundesgebiet,11751404,83856851,303339,3421897,15173300
88557,Herstellung von Textilien,5166542,2005,1795142,Betriebe,399,Früheres Bundesgebiet,2498013,9241474,57868,1576921,4074933
50463,Herstellung von Bekleidung,4724121,2005,997742,Betriebe,227,Früheres Bundesgebiet,1699806,7307824,34774,883899,2583705
77892,"H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel)",6796060,2005,1550980,Betriebe,365,Früheres Bundesgebiet,1568994,9126899,49087,761845,2330839
176060,"Herstellung von Papier, Pappe und Waren daraus",16489207,2005,4223268,Betriebe,562,Früheres Bundesgebiet,6373258,27238086,113653,4375621,10748880
117757,"H.v. Druckerz., Vervielf.v.Ton-,Bild-,Datenträgern",10688526,2005,2872515,Betriebe,597,Früheres Bundesgebiet,1322894,12553814,78014,542395,1865287
438580,Herstellung von chemischen Erzeugnissen,42989065,2005,13059167,Betriebe,839,Früheres Bundesgebiet,29198490,100458355,276188,28270801,57469289
141554,Herstellung von pharmazeutischen Erzeugnissen,11952780,2005,4420650,Betriebe,182,Früheres Bundesgebiet,6630256,27072339,92695,8489301,15119557
433454,Herstellung von Gummi- und Kunststoffwaren,28566870,2005,9437326,Betriebe,1481,Früheres Bundesgebiet,10532124,47567517,274713,8468524,19000650
200512,"H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden",13304872,2005,4415831,Betriebe,811,Früheres Bundesgebiet,3483924,20014508,125565,3225712,6709634
329690,Metallerzeugung und -bearbeitung,40996420,2005,8943070,Betriebe,657,Früheres Bundesgebiet,17406404,69550899,219211,11148075,28554479
