Geleistete Arbeitsstunden 1000,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Betriebe,WZ2008 (2-4-Steller): Verarbeitendes Gewerbe,Betriebe Anzahl,Früheres Bundesgebiet / Neue Länder,Auslandsumsatz mit der Eurozone Tsd. EUR,Umsatz Tsd. EUR,Beschäftigte Anzahl,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,Auslandsumsatz Tsd. EUR
911,96035,2020,22304,Betriebe,Torfgewinnung,9,Früheres Bundesgebiet,40897,147460,532,10528,51424
570364,91275999,2020,13314387,Betriebe,Herstellung von Nahrungs- und Futtermitteln,1974,Früheres Bundesgebiet,20849297,121580673,377937,9455376,30304676
137813,26330375,2020,2518545,Betriebe,Schlachten und Fleischverarbeitung,448,Früheres Bundesgebiet,4163762,32584294,84563,2090154,6253918
81893,15121393,2020,1586582,Betriebe,Fleischverarbeitung,301,Früheres Bundesgebiet,1938466,18109842,51949,1049983,2988448
39249,7495066,2020,972661,Betriebe,Obst- und Gemüseverarbeitung,130,Früheres Bundesgebiet,1447776,9304514,24302,361673,1809450
22621,4475870,2020,561418,Betriebe,Sonstige Verarbeitung von Obst und Gemüse,77,Früheres Bundesgebiet,672208,5305799,13957,157723,829931
52975,16396043,2020,1739556,Betriebe,Milchverarbeitung,138,Früheres Bundesgebiet,5023411,23653463,35538,2234008,7257418
17248,2918437,2020,504818,Betriebe,"Mahl- u. Schälmühlen, H.v. Stärke u.Stärkeerzeugn.",56,Früheres Bundesgebiet,1020698,4701244,11473,762113,1782809
12501,2177583,2020,326315,Betriebe,Mahl- und Schälmühlen,43,Früheres Bundesgebiet,630612,2980099,8451,171903,802516
4749,740852,2020,178503,Betriebe,Herstellung von Stärke und Stärkeerzeugnissen,13,Früheres Bundesgebiet,390084,1721145,3022,590208,980291
164501,12536290,2020,2997602,Betriebe,Herstellung von Back- und Teigwaren,766,Früheres Bundesgebiet,1034588,13810697,118680,239824,1274411
