Geleistete Arbeitsstunden 1000,Umsatz Tsd. EUR,Beschäftigte Anzahl,Inlandsumsatz Tsd. EUR,Jahr,Bruttolohn- und -gehaltssumme Tsd. EUR,Auslandsumsatz mit dem sonstigen Ausland Tsd. EUR,Auslandsumsatz Tsd. EUR,Bundesländer,Betriebe,Betriebe Anzahl,Auslandsumsatz mit der Eurozone Tsd. EUR
1604670,238463229,1055172,120279267,2005,44052292,69386119,118183961,Baden-Württemberg,Betriebe,4311,48797842
1552259,265712210,1014474,138239260,2005,41338253,75896008,127472951,Bayern,Betriebe,3747,51576940
125276,25587197,78969,16603705,2005,3386897,5555225,8983493,Berlin,Betriebe,345,3428268
106130,15653084,64643,11876866,2005,1986313,2216175,3776216,Brandenburg,Betriebe,369,1560041
80225,17731533,51866,7743487,2005,2242409,5341975,9988046,Bremen,Betriebe,150,4646071
124729,62513243,80530,50248051,2005,3947521,4550149,12265193,Hamburg,Betriebe,231,7715044
548227,81795355,357857,44150827,2005,15044348,18794532,37644527,Hessen,Betriebe,1407,18849996
62296,7949233,37065,6124035,2005,935433,574737,1825200,Mecklenburg-Vorpommern,Betriebe,256,1250460
673784,141080004,449814,79027567,2005,17196296,29943923,62052438,Niedersachsen,Betriebe,1830,32108514
1701853,292623511,1098422,174149067,2005,43535701,52281735,118474442,Nordrhein-Westfalen,Betriebe,5113,66192707
368678,64520316,239848,32852961,2005,9582946,15765493,31667354,Rheinland-Pfalz,Betriebe,1009,15901858
