Entgelte Tsd. EUR,Jahr,Tätige Personen Anzahl,WZ2008: Energie- und Wasserversorgung,Geleistete Arbeitsstunden Tsd. Std.,Betriebe Anzahl
3481119,1978,189215,Elektrizitätsversorgung,185092,555
401331,1978,22222,Gasversorgung,19226,148
28628,1978,1428,Wärme- und Kälteversorgung,1680,46
389661,1978,23163,Wasserversorgung,23578,212
4300739,1978,236028,Insgesamt,229576,961
3797316,1979,194441,Elektrizitätsversorgung,187504,596
470550,1979,24539,Gasversorgung,21420,175
31254,1979,1485,Wärme- und Kälteversorgung,1752,49
365743,1979,20430,Wasserversorgung,19806,196
4664863,1979,240893,Insgesamt,230482,1016
4114020,1980,196948,Elektrizitätsversorgung,187029,600
