Entgelte Tsd. EUR,Jahr,Monate,Tätige Personen Anzahl,WZ2008: Energie- und Wasserversorgung,Unnamed: 8,Geleistete Arbeitsstunden Tsd. Std.,Betriebe Anzahl
929906.0,2021,Januar,201097.0,Elektrizitätsversorgung,"","",1485.0
1059187.0,2021,Februar,201103.0,Elektrizitätsversorgung,"","",1486.0
991058.0,2021,März,201040.0,Elektrizitätsversorgung,"","",1486.0
1343851.0,2021,April,201514.0,Elektrizitätsversorgung,"","",1484.0
987174.0,2021,Mai,201372.0,Elektrizitätsversorgung,"","",1484.0
1036953.0,2021,Juni,201599.0,Elektrizitätsversorgung,"","",1483.0
1004631.0,2021,Juli,201497.0,Elektrizitätsversorgung,"","",1483.0
966358.0,2021,August,202802.0,Elektrizitätsversorgung,"","",1488.0
949313.0,2021,September,204825.0,Elektrizitätsversorgung,"","",1484.0
1039651.0,2021,Oktober,204801.0,Elektrizitätsversorgung,"","",1484.0
1604499.0,2021,November,205150.0,Elektrizitätsversorgung,"","",1484.0
