Investitionen in Maschinen Mill. EUR,Jahr,Wirtschaftszweige,Investitionen in Grundstücke mit Bauten Mill. EUR,Investitionen Mill. EUR,Investitionen in Grundstücke ohne Bauten Mill. EUR,Unternehmen Anzahl
5270,1975,Elektrizitätsversorgung,575,5891,47,458
375,1975,Gasversorgung,34,411,1,70
24,1975,Wärme- und Kälteversorgung,2,26,0,11
391,1975,Wasserversorgung,96,500,13,141
4492,1976,Elektrizitätsversorgung,621,5162,48,452
390,1976,Gasversorgung,29,420,1,64
24,1976,Wärme- und Kälteversorgung,2,26,0,13
364,1976,Wasserversorgung,101,474,9,152
4090,1977,Elektrizitätsversorgung,579,4802,133,458
382,1977,Gasversorgung,31,414,1,71
387,1977,Wasserversorgung,87,480,7,158
