Bruttowertschöpfung zu Faktorkosten Mill. EUR,Beschäftigte Anzahl,Umsatz Mill. EUR,Jahr,Materialverbrauch und Wareneinsatz Mill. EUR,Wirtschaftszweige,Nettowertschöpfung zu Faktorkosten Mill. EUR,Bruttöinkommen aus unselbständiger Arbeit Mill. EUR,Nettoproduktionswert Mill. EUR,Abschreibungen Mill. EUR,Bruttoproduktionswert Mill. EUR,Unternehmen Anzahl
9745,220224,24620,1975,12347,Elektrizitätsversorgung,6892,4599,12890,2853,25237,458
549,17960,3916,1975,3083,Gasversorgung,371,357,905,178,3987,70
46,1442,153,1975,81,Wärme- und Kälteversorgung,35,27,72,12,154,11
693,19132,1262,1975,427,Wasserversorgung,481,386,881,212,1309,141
10714,219444,27757,1976,14140,Elektrizitätsversorgung,7471,4826,14125,3243,28265,452
667,16871,4874,1976,3853,Gasversorgung,463,371,1071,204,4924,64
57,1789,199,1976,111,Wärme- und Kälteversorgung,41,33,90,16,201,13
840,20084,1583,1976,549,Wasserversorgung,623,420,1097,217,1646,152
10952,214424,29014,1977,14983,Elektrizitätsversorgung,7492,5002,14560,3460,29543,458
765,18094,5635,1977,4472,Gasversorgung,540,427,1232,225,5704,71
61,1810,216,1977,118,Wärme- und Kälteversorgung,46,37,98,15,217,14
