Nettowärmeerzeugung MWh,Jahr,Elektrizitätserzeugung (netto) MWh,Energieträger,Brennstoffeinsatz GJ,Elektrizitätserzeugung (brutto) MWh
19885222,2021,46662271,Steinkohlen,485083917,51105726
7070451,2021,99369899,Rohbraunkohlen,995763422,107136315
482246,2021,555125,"Heizöl, leicht",7869131,598685
91720,2021,184404,"Heizöl, schwer",2253887,203408
50113751,2021,51795659,"Erdgas, Erdölgas",506193711,53453212
5825755,2021,4215786,Feste biogene Stoffe,77017454,4780618
1934873,2021,2305020,Biogas,22069437,2421704
1201912,2021,1036392,Biomethan (Bioerdgas),9847441,1058011
37646,2021,62706,Deponiegas,690956,66830
56941,2021,193210,Klärschlamm,2223900,212479
1178509,2021,375925,Abfall (Industrie),10956849,509642
