Nettowärmeerzeugung MWh,Jahr,Monate,Elektrizitätserzeugung (netto) MWh,Energieträger,Brennstoffeinsatz GJ,Elektrizitätserzeugung (brutto) MWh
3133964,2022,Januar,5976647,Steinkohlen,63549609,6547116
846788,2022,Januar,9299495,Rohbraunkohlen,91528316,9978405
167007,2022,Januar,75716,"Heizöl, leicht",1507387,82399
5975413,2022,Januar,5936423,"Erdgas, Erdölgas",59040956,6108831
18943,2022,Januar,53516,Grubengas,530634,53954
599452,2022,Januar,349405,Feste biogene Stoffe,6779074,397336
189199,2022,Januar,219838,Biogas,2102673,231492
142636,2022,Januar,124514,Biomethan (Bioerdgas),1167742,126962
3745,2022,Januar,5501,Deponiegas,62024,5803
12730,2022,Januar,18540,Klärschlamm,234824,21223
98719,2022,Januar,33954,Abfall (Industrie),940300,45094
