Jahr,Monate,Stromeinspeisende Anlagen Anzahl,Energieträger,Nettonennleistung MW,Stromeinspeisung MWh
2022,Januar,88,Steinkohlen,"26248,192",6915764
2022,Januar,0,Steinkohlenkoks,"0,000",0
2022,Januar,0,Steinkohlenbriketts,"0,000",0
2022,Januar,0,Kohlenwertstoffe aus Steinkohle,"0,000",0
2022,Januar,0,Hartbraunkohlen,"0,000",0
2022,Januar,396,Dieselkraftstoff,"215,155",536
2022,Januar,2949,"Heizöl, leicht","1961,057",65467
2022,Januar,671,Flüssiggas,"5,530",610
2022,Januar,0,Petrolkoks,"0,000",0
2022,Januar,62113,"Erdgas, Erdölgas","34567,561",7198102
2022,Januar,79,Grubengas,"167,954",51810
