Einfuhr von Elektrizität MWh,Jahr,Monate,Austauschsaldo MWh,Länder,Ausfuhr von Elektrizität MWh
301139,2022,Januar,-297501,Frankreich,598640
263953,2022,Februar,-148903,Frankreich,412856
149800,2022,März,-857840,Frankreich,1007640
296948,2022,April,-561124,Frankreich,858072
513398,2022,Mai,166289,Frankreich,347109
246407,2022,Juni,-341064,Frankreich,587471
58516,2022,Juli,-1140112,Frankreich,1198628
253136,2022,August,-693751,Frankreich,946887
195929,2022,September,-588581,Frankreich,784510
103710,2022,Januar,-633342,Belgien und Luxemburg,737052
44167,2022,Februar,-761292,Belgien und Luxemburg,805459
