Gewinnung von Erdölgas im Inland MWh,Speicherveränderung zum Vormonatsende MWh,Jahr,Monate,Netzeinspeisung von Biogas durch inländ. Untern. MWh,Netzeinspeisung von Gas durch inländ. Unternehmen MWh,Eigenverbrauch von Gas MWh,Netzausspeisung von Gas in Nachbarstaaten MWh,Speicherstand von Gas am Monatsende MWh,Netzeinspeisung von Gas aus Nachbarstaaten MWh,Zur Abgabe im Inland verfügbares Gas MWh,Gewinnung von Erdgas inkl. Erdölgas im Inland MWh
34310,74082331,2021,Januar,148264,4245440,660886,84837322,125472643,148536974,141548543,4279182
28732,36149402,2021,Februar,135452,3647251,587364,58905080,89323241,140055562,120594051,3746079
31205,14325683,2021,März,154184,4077888,597677,70769464,74997558,161847379,109066855,4106750
27122,3174709,2021,April,152916,4039714,523246,67048951,71822849,155598451,95315505,3961626
30186,-14052453,2021,Mai,157608,4110086,486891,70979897,85875302,148958333,67612518,4015818
29390,-24846026,2021,Juni,143620,3828417,450988,63977683,110721328,130957429,45596401,3770049
31143,-20659092,2021,Juli,153158,4099270,421928,56360667,131380420,113138645,39832460,3982344
32372,-25275081,2021,August,152443,4036523,374706,62852323,156655501,122709154,38322669,3963182
31967,-22313403,2021,September,150510,3805002,418367,67191329,178968904,130804309,44758676,3726956
32517,-11359684,2021,Oktober,155209,4163380,344218,54443452,190328588,134666713,72765851,4091283
30366,22001557,2021,November,150422,4066637,400238,55413216,168327031,138904453,109234622,3991644
