Umsatz Tsd. EUR,Entgelte Tsd. EUR,Jahr,Monate,Tätige Personen Anzahl,Bundesländer,Alle Betriebe
606344,223583,2016,Januar,92888,Baden-Württemberg,Alle Betriebe
933217,230180,2016,Februar,93380,Baden-Württemberg,Alle Betriebe
1075735,248220,2016,März,93776,Baden-Württemberg,Alle Betriebe
1171410,268537,2016,April,94764,Baden-Württemberg,Alle Betriebe
1146545,263156,2016,Mai,96379,Baden-Württemberg,Alle Betriebe
1288215,271765,2016,Juni,96316,Baden-Württemberg,Alle Betriebe
1305122,281020,2016,Juli,97500,Baden-Württemberg,Alle Betriebe
1258130,281894,2016,August,98346,Baden-Württemberg,Alle Betriebe
1297694,274913,2016,September,99028,Baden-Württemberg,Alle Betriebe
1377377,268313,2016,Oktober,98730,Baden-Württemberg,Alle Betriebe
1435271,345503,2016,November,98734,Baden-Württemberg,Alle Betriebe
