Jahr,Monate,Tätige Personen Anzahl,Bundesländer,Stellung im Betrieb,Alle Betriebe
2016,Januar,92387,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,Februar,92775,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,März,93209,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,April,94209,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,Mai,95702,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,Juni,95637,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,Juli,96826,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,August,97663,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,September,98323,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,Oktober,98019,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
2016,November,98047,Baden-Württemberg,Tätige Personen im Baugewerbe,Alle Betriebe
