Jahr,Monate,Geleistete Arbeitsstunden Tsd. Std.,Bundesländer,Alle Betriebe,Bauarten,Baugewerblicher Umsatz Tsd. EUR
2016,Januar,2609,Baden-Württemberg,Alle Betriebe,Wohnungsbau,247551
2016,Februar,3866,Baden-Württemberg,Alle Betriebe,Wohnungsbau,371912
2016,März,4248,Baden-Württemberg,Alle Betriebe,Wohnungsbau,415089
2016,April,4798,Baden-Württemberg,Alle Betriebe,Wohnungsbau,440073
2016,Mai,4277,Baden-Württemberg,Alle Betriebe,Wohnungsbau,427902
2016,Juni,4974,Baden-Württemberg,Alle Betriebe,Wohnungsbau,479430
2016,Juli,4855,Baden-Württemberg,Alle Betriebe,Wohnungsbau,488199
2016,August,3992,Baden-Württemberg,Alle Betriebe,Wohnungsbau,452077
2016,September,4984,Baden-Württemberg,Alle Betriebe,Wohnungsbau,468345
2016,Oktober,4617,Baden-Württemberg,Alle Betriebe,Wohnungsbau,492762
2016,November,4791,Baden-Württemberg,Alle Betriebe,Wohnungsbau,495359
