Entgelte Tsd. EUR,Gesamtumsatz Tsd. EUR,Jahr,Monate,Tätige Personen Anzahl,Geleistete Arbeitsstunden Tsd. Std.,WZ2008 (ausgewählte Positionen): Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,Betriebe Anzahl,Baugewerblicher Umsatz Tsd. EUR
1648302,4992048,2022,Januar,523209,38156,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9531,4939689
1597130,6236494,2022,Februar,523717,44391,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9515,6162929
1823733,8675769,2022,März,529148,57697,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9500,8558807
1930802,8260862,2022,April,530623,52058,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9486,8164926
1994908,9299771,2022,Mai,529743,57236,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9479,9194161
1985984,9586667,2022,Juni,530716,55793,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9466,9481247
1936237,9789311,2022,Juli,530145,53778,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9452,9684932
1981163,9628242,2022,August,533527,53794,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9435,9520429
2027275,10135902,2022,September,536560,57766,Bauhauptgewerbe,Betriebe mit 20 u.m. tätigen Personen,9417,10031034
539458,2047607,2022,Januar,168215,11633,Bau von Gebäuden,Betriebe mit 20 u.m. tätigen Personen,3219,2036602
523963,2665104,2022,Februar,168407,13830,Bau von Gebäuden,Betriebe mit 20 u.m. tätigen Personen,3212,2649377
