Jahr,Monate,Tätige Personen Anzahl,Bundesländer,Stellung im Betrieb,Betriebe mit 20 u.m. tätigen Personen
2022,Januar,68776,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,Februar,68804,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,März,69116,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,April,68873,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,Mai,68938,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,Juni,69111,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,Juli,68750,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,August,68896,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,September,69843,Baden-Württemberg,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,Januar,102736,Bayern,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
2022,Februar,103949,Bayern,Tätige Personen im Baugewerbe,Betriebe mit 20 u.m. tätigen Personen
