Jahr,Monate,Auftragseingang Tsd. EUR,Geleistete Arbeitsstunden Tsd. Std.,Bundesländer,Betriebe mit 20 u.m. tätigen Personen,Bauarten,Baugewerblicher Umsatz Tsd. EUR
2022,Januar,275896,1441,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,202160
2022,Februar,222550,1777,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,228843
2022,März,302579,2119,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,342945
2022,April,227113,1860,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,307717
2022,Mai,240645,2043,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,323983
2022,Juni,255328,1954,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,297408
2022,Juli,236840,2019,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,377874
2022,August,216175,1526,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,321064
2022,September,256410,2039,Baden-Württemberg,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,340042
2022,Januar,470770,1923,Bayern,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,268968
2022,Februar,544171,2701,Bayern,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,386512
