Auftragseingang: Volumenindex 2015=100,Jahr,Betriebe mit 20 u.m. tätigen Personen,Bauarten,Auftragseingang: Wertindex 2015=100
"139,1",1991,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"103,5"
"151,3",1991,Betriebe mit 20 u.m. tätigen Personen,Hochbau,"112,5"
"118,7",1991,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,"88,5"
"173,8",1991,Betriebe mit 20 u.m. tätigen Personen,Hochbau ohne Wohnungsbau,"129,2"
"124,9",1991,Betriebe mit 20 u.m. tätigen Personen,Tiefbau,"92,9"
"111,0",1991,Betriebe mit 20 u.m. tätigen Personen,Straßenbau,"82,1"
"132,8",1991,Betriebe mit 20 u.m. tätigen Personen,Tiefbau ohne Straßenbau,"99,3"
"148,8",1992,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"116,8"
"162,5",1992,Betriebe mit 20 u.m. tätigen Personen,Hochbau,"127,9"
"130,9",1992,Betriebe mit 20 u.m. tätigen Personen,Wohnungsbau,"103,7"
"184,4",1992,Betriebe mit 20 u.m. tätigen Personen,Hochbau ohne Wohnungsbau,"144,7"
