Auftragseingang: Volumenindex 2015=100,Jahr,Monate,Betriebe mit 20 u.m. tätigen Personen,Bauarten,Auftragseingang: Wertindex 2015=100,Original- und bereinigte Daten
"105,5",2022,Januar,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"141,2",Originalwerte
"112,6",2022,Februar,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"156,1",Originalwerte
"155,7",2022,März,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"215,8",Originalwerte
"116,3",2022,April,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"161,2",Originalwerte
"119,8",2022,Mai,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"180,9",Originalwerte
"115,8",2022,Juni,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"174,8",Originalwerte
"116,5",2022,Juli,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"176,0",Originalwerte
"104,1",2022,August,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"160,1",Originalwerte
"108,2",2022,September,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"166,3",Originalwerte
"106,8",2022,Januar,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"142,8",X13 JDemetra+  kalenderbereinigt
"112,3",2022,Februar,Betriebe mit 20 u.m. tätigen Personen,Hoch- und Tiefbau,"155,7",X13 JDemetra+  kalenderbereinigt
