Quartale,Entgelte Tsd. EUR,Gesamtumsatz Tsd. EUR,Jahr,Tätige Personen Anzahl,Geleistete Arbeitsstunden Tsd. Std.,WZ2008 (ausgewählte Positionen): Ausbaugewerbe,Betriebe Anzahl,Baugewerblicher Umsatz Tsd. EUR
1. Quartal,2887332,8925885,2018,351888,106482,Ausbaugewerbe,7817,8752040
2. Quartal,3088670,10945863,2018,354887,109473,Ausbaugewerbe,7819,10728229
3. Quartal,3062415,11799250,2018,360842,111460,Ausbaugewerbe,7794,11595328
4. Quartal,3348871,14872657,2018,359278,111747,Ausbaugewerbe,7785,14630764
1. Quartal,2261124,7062109,2018,267537,80989,Bauinstallation,5567,6917219
2. Quartal,2409269,8480323,2018,268179,81757,Bauinstallation,5570,8308615
3. Quartal,2377727,9092693,2018,272528,83109,Bauinstallation,5554,8924364
4. Quartal,2604175,11698430,2018,271978,83967,Bauinstallation,5545,11495815
1. Quartal,906599,2653665,2018,112492,35713,Elektroinstallation,2209,2569922
2. Quartal,966944,3239628,2018,112967,36298,Elektroinstallation,2217,3147972
3. Quartal,961750,3459533,2018,114718,36878,Elektroinstallation,2213,3370800
