Vollzeitbeschäftigte 2015=100,Jahr,Veränderung zum Vorjahr in (%).1,Beschäftigte 2015=100,Veränderung zum Vorjahr in (%).2,Veränderung zum Vorjahr in (%),WZ2008 (2- bis 4-Steller),Teilzeitbeschäftigte 2015=100
"129,2",1995,"-1,1","124,9","+0,7","-0,7",Großhandel (ohne Handel mit Kraftfahrzeugen),"110,3"
"294,6",1995,"+0,7","222,9","+10,2","+2,2",Handelsvermittlung,"107,1"
"133,2",1995,"-4,9","127,9","+1,1","-3,5",Großhandel m.landw.Grundstoffen u.lebenden Tieren,"113,9"
"132,5",1995,"-4,9","126,8","-1,9","-4,3","Großh.m. Getreide,Rohtabak,Saatgut u.Futtermitteln","104,1"
"134,5",1995,"-6,9","140,4","+4,8","-2,3",Großhandel mit lebenden Tieren,"148,8"
"153,4",1995,"+0,3","150,9","+3,1","+1,2","Großh.m. Nahrungs-,Genussm.,Getränken u.Tabakwaren","144,9"
"116,3",1995,"+2,4","121,1","-9,2","+0,2","Großhandel mit Obst, Gemüse und Kartoffeln","136,6"
"153,8",1995,"-3,0","141,1","+0,9","-2,4",Großhandel mit Fleisch und Fleischwaren,"106,7"
"132,3",1995,"-0,5","125,7","+11,7","+1,3","Großh.m. Milcherzeugn.,Eiern,Speiseöl u.ä.Fetten","100,4"
"135,7",1995,"+1,6","128,0","-19,6","-3,0",Großhandel mit Tabakwaren,"105,1"
"175,9",1995,"+1,2","245,2","+6,8","+3,3","Großhandel mit Zucker, Süßwaren und Backwaren","590,9"
