Jahr,Preisarten,Umsatz 2015=100,Veränderung zum Vorjahr in (%),WZ2008 (2- bis 4-Steller)
1995,in konstanten Preisen,"96,2","-0,3",Großhandel (ohne Handel mit Kraftfahrzeugen)
1995,in konstanten Preisen,"90,7",x,Großhandel m.landw.Grundstoffen u.lebenden Tieren
1995,in konstanten Preisen,"95,4",x,"Großh.m. Getreide,Rohtabak,Saatgut u.Futtermitteln"
1995,in konstanten Preisen,"80,9",x,Großhandel mit Blumen und Pflanzen
1995,in konstanten Preisen,"78,9",x,Großhandel mit lebenden Tieren
1995,in konstanten Preisen,"139,2",x,"Großhandel mit Häuten, Fellen und Leder"
1995,in konstanten Preisen,"84,1",x,"Großhandel mit Obst, Gemüse und Kartoffeln"
1995,in konstanten Preisen,"137,9",x,Großhandel mit Fleisch und Fleischwaren
1995,in konstanten Preisen,"183,7",x,"Großh.m. Milcherzeugn.,Eiern,Speiseöl u.ä.Fetten"
1995,in konstanten Preisen,"142,9",x,Großhandel mit Getränken
1995,in konstanten Preisen,"75,4",x,Großhandel mit Tabakwaren
