Veränderung zur Vorjahresperiode in (%),Jahr,Monate,Preisarten,Umsatz 2015=100,WZ2008 (2- bis 4-Steller)
"+8,8",2022,Januar,in konstanten Preisen,"103,4",Großhandel (ohne Handel mit Kraftfahrzeugen)
"+7,2",2022,Februar,in konstanten Preisen,"106,2",Großhandel (ohne Handel mit Kraftfahrzeugen)
"+0,1",2022,März,in konstanten Preisen,"125,7",Großhandel (ohne Handel mit Kraftfahrzeugen)
"-1,9",2022,April,in konstanten Preisen,"109,1",Großhandel (ohne Handel mit Kraftfahrzeugen)
"+5,0",2022,Mai,in konstanten Preisen,"112,9",Großhandel (ohne Handel mit Kraftfahrzeugen)
"-0,7",2022,Juni,in konstanten Preisen,"116,2",Großhandel (ohne Handel mit Kraftfahrzeugen)
"-0,4",2022,Juli,in konstanten Preisen,"110,6",Großhandel (ohne Handel mit Kraftfahrzeugen)
"+5,8",2022,August,in konstanten Preisen,"113,5",Großhandel (ohne Handel mit Kraftfahrzeugen)
"+0,5",2022,September,in konstanten Preisen,"117,6",Großhandel (ohne Handel mit Kraftfahrzeugen)
"+17,4",2022,Januar,in konstanten Preisen,"162,2",Handelsvermittlung
"+11,9",2022,Februar,in konstanten Preisen,"169,3",Handelsvermittlung
