Veränderung zur Vorjahresperiode in (%),Jahr,Monate,Beschäftigte 2015=100,Bundesländer
"+1,3",2022,Januar,"102,2",Baden-Württemberg
"+2,4",2022,Februar,"102,5",Baden-Württemberg
"+2,1",2022,März,"102,8",Baden-Württemberg
"+1,9",2022,April,"102,8",Baden-Württemberg
"+2,0",2022,Mai,"102,9",Baden-Württemberg
"+1,8",2022,Juni,"103,0",Baden-Württemberg
"+3,9",2022,Januar,"113,2",Berlin
"+4,8",2022,Februar,"113,8",Berlin
"+3,6",2022,März,"114,0",Berlin
"+3,7",2022,April,"114,2",Berlin
"+3,7",2022,Mai,"114,4",Berlin
