Jahr,Preisarten,Umsatz 2015=100,Veränderung zum Vorjahr in (%),Bundesländer
2018,in konstanten Preisen,"106,7","+2,2",Baden-Württemberg
2018,in konstanten Preisen,"112,7","+4,4",Bayern
2018,in konstanten Preisen,"109,0","+3,5",Berlin
2018,in konstanten Preisen,"98,1","+0,1",Brandenburg
2018,in konstanten Preisen,"96,1","-2,0",Bremen
2018,in konstanten Preisen,"101,9","+1,1",Hessen
2018,in konstanten Preisen,"100,6","-1,2",Mecklenburg-Vorpommern
2018,in konstanten Preisen,"99,0","-1,0",Niedersachsen
2018,in konstanten Preisen,"107,8","+0,6",Nordrhein-Westfalen
2018,in konstanten Preisen,"99,7","+3,2",Rheinland-Pfalz
2018,in konstanten Preisen,"107,2","+1,8",Saarland
