Veränderung zur Vorjahresperiode in (%),Jahr,Monate,Preisarten,Umsatz 2015=100,Bundesländer
"+4,2",2022,Januar,in konstanten Preisen,"102,0",Baden-Württemberg
"+3,8",2022,Februar,in konstanten Preisen,"111,5",Baden-Württemberg
"-2,8",2022,März,in konstanten Preisen,"128,8",Baden-Württemberg
"-2,0",2022,April,in konstanten Preisen,"116,5",Baden-Württemberg
"+2,6",2022,Mai,in konstanten Preisen,"120,1",Baden-Württemberg
"-3,7",2022,Juni,in konstanten Preisen,"119,9",Baden-Württemberg
"+4,5",2022,Januar,in konstanten Preisen,"84,4",Berlin
"+8,1",2022,Februar,in konstanten Preisen,"86,3",Berlin
"+2,1",2022,März,in konstanten Preisen,"101,6",Berlin
"-4,0",2022,April,in konstanten Preisen,"85,8",Berlin
"+10,7",2022,Mai,in konstanten Preisen,"96,5",Berlin
