Vollzeitbeschäftigte 2015=100,Jahr,Veränderung zum Vorjahr in (%).1,Beschäftigte 2015=100,Veränderung zum Vorjahr in (%).2,Veränderung zum Vorjahr in (%),WZ2008 (ausgewählte Positionen): Einzelhandel,Teilzeitbeschäftigte 2015=100
"135,8",1995,"-3,5","106,2","+4,7","+0,2",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"86,1"
"134,3",1995,"-7,8","97,8","+8,3","+0,5",Eh.m. Waren verschiedener Art (in Verkaufsräumen),"79,6"
"107,6",1995,"-5,7","83,1","+11,1","+3,4","Eh.m. Waren versch. Art, Hauptr. Nahrungsm. usw","71,2"
"101,1",1995,"-7,2","77,6","+12,5","+3,5","Eh.m. Nahrungs-,Genussm.,Getränken u. Tabakw. oaS","66,7"
"131,5",1995,"-1,8","105,2","+7,1","+2,8","Sonst.Eh.m. Waren versch.Art,Hauptr.Nahrungsm.usw","90,3"
"282,0",1995,"-11,3","197,4","+0,1","-6,4",Sonstiger Einzelhandel mit Waren verschiedener Art,"143,7"
"437,5",1995,"-7,5","228,6","-2,3","-5,3",Eh.m. Waren versch. Art (ohne Nahrungsmittel),"138,8"
"244,2",1995,"-13,0","185,3","+1,1","-7,0","Eh.m. Waren versch. Art, Hauptr. Nicht-Nahrungsm.","144,3"
"144,5",1995,"+1,1","121,6","+4,0","+2,4",Eh.m. Nahrungsmitteln usw (in Verkaufsräumen),"107,8"
"142,3",1995,"+7,5","123,6","+9,6","+8,0","Einzelhandel mit Obst, Gemüse und Kartoffeln","116,0"
"205,3",1995,"+10,3","169,1","+3,4","+7,2",Einzelhandel mit Fleisch und Fleischwaren,"138,1"
