Jahr,Veränderung zum Vorjahr in (%).1,Beförderte Güter t,Veränderung zum Vorjahr in (%),Beförderungsleistung tkm
2006,"+12,1",346118090,"+9,1",107007355596
2007,"+7,1",361115737,"+4,3",114614879347
2008,"+0,9",371297947,"+2,8",115651868460
2009,"-17,1",312087201,"-15,9",95834464310
2010,"+12,0",355714712,"+14,0",107316958393
2011,"+5,6",374737041,"+5,3",113317398681
2012,"-2,9",366140244,"-2,3",110064799569
2013,"+2,3",373737774,"+2,1",112612554773
2014,"+0,0",365002558,"-2,3",112628807680
2015,"+3,6",367313856,"+0,6",116632120807
2016,"-5,4",350104953,"-4,7",110372777626
