Jahr,Monate,Beförderte Güter t,Veränderung zum Vorjahresmonat in (%),Veränderung zum Vorjahresmonat in (%).1,Beförderungsleistung tkm
2021,Januar,27647683,"-1,6","+2,7",9601324390
2021,Februar,25425376,"-7,4","-2,6",9033921997
2021,März,33952665,"+14,1","+15,6",11697859861
2021,April,30301002,"+28,1","+32,9",10352232628
2021,Mai,30454497,"+28,1","+31,6",10496809680
2021,Juni,30256375,"+26,0","+26,7",10524844814
2021,Juli,29934961,"+15,2","+12,4",10247145974
2021,August,28457826,"+17,1","+18,0",9575643911
2021,September,30157418,"+7,6","+7,8",10452811513
2021,Oktober,31246295,"+5,3","+6,5",10661239604
2021,November,30835430,"+7,1","+8,6",10658605417
