Jahr,Beförderte Güter t,Hauptverkehrsbeziehungen,Beförderungsleistung tkm
2005,201725248,Verkehr innerhalb Deutschlands,44412331208
2005,48220060,Grenzüberschreitender Versand,20865121275
2005,51123597,Grenzüberschreitender Empfang,19223183757
2005,16224923,Durchgangsverkehr,10919856905
2005,317293828,Insgesamt,95420493145
2006,217889529,Verkehr innerhalb Deutschlands,50523669000
2006,54627719,Grenzüberschreitender Versand,23831035992
2006,56147183,Grenzüberschreitender Empfang,21201601475
2006,17453659,Durchgangsverkehr,11451049129
2006,346118090,Insgesamt,107007355596
2007,226306630,Verkehr innerhalb Deutschlands,53784153169
