Jahr,Monate,Beförderte Güter t,Hauptverkehrsbeziehungen,Beförderungsleistung tkm
2021,Januar,17603935,Verkehr innerhalb Deutschlands,4697935871
2021,Februar,15997372,Verkehr innerhalb Deutschlands,4352017085
2021,März,22079805,Verkehr innerhalb Deutschlands,5886339631
2021,April,19540850,Verkehr innerhalb Deutschlands,5051999037
2021,Mai,19627327,Verkehr innerhalb Deutschlands,5122536921
2021,Juni,19539292,Verkehr innerhalb Deutschlands,5266472877
2021,Juli,19601705,Verkehr innerhalb Deutschlands,5231805859
2021,August,19019566,Verkehr innerhalb Deutschlands,4975730944
2021,September,19512765,Verkehr innerhalb Deutschlands,5250348783
2021,Oktober,20418238,Verkehr innerhalb Deutschlands,5334887940
2021,November,20266290,Verkehr innerhalb Deutschlands,5373975203
