Jahr,Beförderte Güter t,NST-2007 Güterverzeichnis (Gruppen),Hauptverkehrsbeziehungen,Beförderungsleistung tkm
2011,1181654,Getreide,Verkehr innerhalb Deutschlands,408913257
2011,8390,Kartoffeln,Verkehr innerhalb Deutschlands,1148925
2011,49628,Zuckerrüben,Verkehr innerhalb Deutschlands,17342517
2011,432,Anderes frisches Obst und Gemüse,Verkehr innerhalb Deutschlands,225288
2011,1480044,Forstwirtschaftliche Erzeugnisse,Verkehr innerhalb Deutschlands,560036083
2011,14,Lebende Pflanzen und Blumen,Verkehr innerhalb Deutschlands,4983
2011,578240,Andere Erzeugnisse pflanzlichen Ursprungs,Verkehr innerhalb Deutschlands,233928624
2011,1797,Lebende Tiere,Verkehr innerhalb Deutschlands,975518
2011,425,Andere Erzeugnisse tierischen Ursprungs,Verkehr innerhalb Deutschlands,290425
2011,24231548,Kohle,Verkehr innerhalb Deutschlands,2925523240
2011,252349,Erdöl,Verkehr innerhalb Deutschlands,61564357
