Jahr,Monate,Beförderte Güter t,NST-2007 Güterverzeichnis (Gruppen),Hauptverkehrsbeziehungen,Beförderungsleistung tkm
2022,Januar,204167,Getreide,Verkehr innerhalb Deutschlands,88197245
2022,Januar,417665,Forstwirtschaftliche Erzeugnisse,Verkehr innerhalb Deutschlands,104253427
2022,Januar,30264,Andere Erzeugnisse pflanzlichen Ursprungs,Verkehr innerhalb Deutschlands,12254814
2022,Januar,1109947,Kohle,Verkehr innerhalb Deutschlands,261167101
2022,Januar,25218,Erdöl,Verkehr innerhalb Deutschlands,8125588
2022,Januar,592,Erdgas,Verkehr innerhalb Deutschlands,592
2022,Januar,1341468,Eisenerze,Verkehr innerhalb Deutschlands,207244348
2022,Januar,866,NE-Metallerze (ohne Uran- und Thoriumerze),Verkehr innerhalb Deutschlands,280681
2022,Januar,170668,Chemische und (natürliche) Düngemittelminerale,Verkehr innerhalb Deutschlands,44886856
2022,Januar,112074,"Salz und Natriumchlorid, Meerwasser",Verkehr innerhalb Deutschlands,34344522
2022,Januar,1180381,"Natursteine,Sand,Kies,Ton,Torf,sonst.Bergbauerz.",Verkehr innerhalb Deutschlands,314418352
