Jahr,Monate,Beförderte Güter t,NST-2007 Güterverzeichnis
2022,Januar,839446,"Erzeugn. der Land- und Forstwirtschaft, Fischerei"
2022,Januar,284770,Getreide
2022,Januar,21120,Anderes frisches Obst und Gemüse
2022,Januar,490056,Forstwirtschaftliche Erzeugnisse
2022,Januar,43305,Andere Erzeugnisse pflanzlichen Ursprungs
2022,Januar,27,Lebende Tiere
2022,Januar,168,Andere Erzeugnisse tierischen Ursprungs
2022,Januar,2023967,"Kohle, rohes Erdöl und Erdgas"
2022,Januar,1967632,Kohle
2022,Januar,54572,Erdöl
2022,Januar,1763,Erdgas
