Wirtschaftszweige (WZ 2008),Jahr,Beschäftigtenindex 2015=100,Veränderung zum Vorjahr in (%)
Verkehr und Lagerei,2001,"87,9","-0,2"
Schifffahrt,2001,"92,7","-0,9"
Luftfahrt,2001,"86,3","-1,7"
"Lagerei, sonstige Dienstleistungen für den Verkehr",2001,"72,8","-0,5"
"Post-, Kurier- und Expressdienste",2001,"110,7","+0,5"
Gastgewerbe,2001,"100,0","+0,9"
Beherbergung,2001,"99,1","+1,3"
Gastronomie,2001,"100,4","+0,8"
Information und Kommunikation,2001,"85,4","+11,6"
Verlagswesen,2001,"117,5","+1,0"
"Film, TV-Programme, Kinos, Tonstudios, Musikverlag",2001,"85,8","-0,5"
