Veränderung zur Vorjahresperiode in (%),Wirtschaftszweige (WZ 2008),Jahr,Monate,Beschäftigtenindex 2015=100
"+1,4",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Januar,"104,1"
"+1,7",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Februar,"104,3"
"+1,6",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,März,"104,5"
"+1,7",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,April,"104,4"
"+1,8",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Mai,"104,8"
"+1,8",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Juni,"105,2"
"+1,5",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Juli,"104,8"
"+1,4",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,August,"104,8"
"+1,3",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,September,"105,4"
"+1,2",Ausgewählte Dienstleistungsbereiche,2022,Januar,"105,4"
"+1,2",Ausgewählte Dienstleistungsbereiche,2022,Februar,"105,5"
