Wirtschaftszweige (WZ 2008),Jahr,Preisarten,Veränderung zum Vorjahr in (%),Umsatzindex 2015=100
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2016,in konstanten Preisen,"+5,3","105,3"
Ausgewählte Dienstleistungsbereiche,2016,in konstanten Preisen,"+5,5","105,5"
Ausgewählte unternehmensnahe Dienstleistungen,2016,in konstanten Preisen,"+5,5","105,5"
Verkehr und Lagerei,2016,in konstanten Preisen,"+3,2","103,2"
Verkehr,2016,in konstanten Preisen,"+2,0","102,0"
Personenbeförderung,2016,in konstanten Preisen,"-0,2","99,8"
Güterbeförderung,2016,in konstanten Preisen,"+4,0","104,0"
"Personen-, Güterbeförderung im Eisenbahnverkehr",2016,in konstanten Preisen,"+3,5","103,5"
Nachhaltige Güterbeförderung,2016,in konstanten Preisen,"+1,6","101,6"
Nicht nachhaltige Güterbeförderung,2016,in konstanten Preisen,"+5,7","105,7"
Güterbeförderung ohne Eisenbahnverkehr,2016,in konstanten Preisen,"+4,3","104,3"
