Veränderung zur Vorjahresperiode in (%),Wirtschaftszweige (WZ 2008),Jahr,Monate,Preisarten,Umsatzindex 2015=100
"+9,5",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Januar,in konstanten Preisen,"95,7"
"+11,5",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Februar,in konstanten Preisen,"95,7"
"+9,2",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,März,in konstanten Preisen,"114,1"
"+10,2",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,April,in konstanten Preisen,"106,6"
"+18,2",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Mai,in konstanten Preisen,"115,1"
"+9,1",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Juni,in konstanten Preisen,"115,0"
"+8,5",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Juli,in konstanten Preisen,"114,5"
"+11,9",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,August,in konstanten Preisen,"112,9"
"+11,6",Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,September,in konstanten Preisen,"118,6"
"+7,4",Ausgewählte Dienstleistungsbereiche,2022,Januar,in konstanten Preisen,"97,7"
"+9,2",Ausgewählte Dienstleistungsbereiche,2022,Februar,in konstanten Preisen,"97,5"
