Wirtschaftszweige (WZ 2008),Jahr,Monate,Preisarten,Original- und bereinigte Daten,Umsatzindex 2015=100
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Januar,in konstanten Preisen,Originalwerte,"95,7"
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Februar,in konstanten Preisen,Originalwerte,"95,7"
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,März,in konstanten Preisen,Originalwerte,"114,1"
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,April,in konstanten Preisen,Originalwerte,"106,6"
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Mai,in konstanten Preisen,Originalwerte,"115,1"
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Juni,in konstanten Preisen,Originalwerte,"115,0"
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Juli,in konstanten Preisen,Originalwerte,"114,5"
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,August,in konstanten Preisen,Originalwerte,"112,9"
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,September,in konstanten Preisen,Originalwerte,"118,6"
Ausgewählte Dienstleistungsbereiche,2022,Januar,in konstanten Preisen,Originalwerte,"97,7"
Ausgewählte Dienstleistungsbereiche,2022,Februar,in konstanten Preisen,Originalwerte,"97,5"
