Wirtschaftszweige (WZ 2008),Jahr,Monate,Produktionsindex 2015=100,Original- und bereinigte Daten
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Januar,"98,3",Originalwerte
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Februar,"98,6",Originalwerte
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,März,"115,1",Originalwerte
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,April,"108,3",Originalwerte
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Mai,"115,6",Originalwerte
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Juni,"116,5",Originalwerte
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,Juli,"115,6",Originalwerte
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,August,"114,6",Originalwerte
Ausgewählte Dienstleistungsbereiche u. Gastgewerbe,2022,September,"119,8",Originalwerte
Ausgewählte Dienstleistungsbereiche,2022,Januar,"99,9",Originalwerte
Ausgewählte Dienstleistungsbereiche,2022,Februar,"100,1",Originalwerte
