Jahr,Rechtsform,Umsatzgrößenklassen,Unternehmen Anzahl,WZ2008 (Abschnitte): Dienstleistungen
2020,Einzelunternehmen,unter 250 000 EUR,48618,Verkehr und Lagerei
2020,Einzelunternehmen,250 000 bis unter 1 Mill. EUR,15295,Verkehr und Lagerei
2020,Einzelunternehmen,1 Mill. EUR und mehr,3589,Verkehr und Lagerei
2020,Einzelunternehmen,unter 250 000 EUR,59567,Information und Kommunikation
2020,Einzelunternehmen,250 000 bis unter 1 Mill. EUR,4903,Information und Kommunikation
2020,Einzelunternehmen,1 Mill. EUR und mehr,523,Information und Kommunikation
2020,Einzelunternehmen,unter 250 000 EUR,54924,Grundstücks- und Wohnungswesen
2020,Einzelunternehmen,250 000 bis unter 1 Mill. EUR,6806,Grundstücks- und Wohnungswesen
2020,Einzelunternehmen,1 Mill. EUR und mehr,1070,Grundstücks- und Wohnungswesen
2020,Einzelunternehmen,unter 250 000 EUR,278383,"Freiberufliche, wiss. u. techn. Dienstleistungen"
2020,Einzelunternehmen,250 000 bis unter 1 Mill. EUR,31981,"Freiberufliche, wiss. u. techn. Dienstleistungen"
