Jahr,Rechtsform,Unternehmen Anzahl,WZ2008 (2-4-Steller): Dienstleistungen
2020,Einzelunternehmen,47375,Landverkehr und Transport in Rohrfernleitungen
2020,Einzelunternehmen,3,Personenbeförderung im Eisenbahnfernverkehr
2020,Einzelunternehmen,21,Güterbeförderung im Eisenbahnverkehr
2020,Einzelunternehmen,21249,Sonstige Personenbeförderung im Landverkehr
2020,Einzelunternehmen,1670,Personenbef. im Nahverkehr zu Lande (ohne Taxis)
2020,Einzelunternehmen,17734,Betrieb von Taxis
2020,Einzelunternehmen,1845,Sonstige Personenbeförderung im Landverkehr a.n.g.
2020,Einzelunternehmen,26098,"Güterbeförderung i.Straßenverkehr,Umzugstransporte"
2020,Einzelunternehmen,24412,Güterbeförderung im Straßenverkehr
2020,Einzelunternehmen,1685,Umzugstransporte
2020,Einzelunternehmen,3,Transport in Rohrfernleitungen
