Bruttowertschöpfung zu Faktorkosten Mill. EUR,Umsatz Mill. EUR,Jahr,WZ2008 (Abschnitte): Unternehmensstatistik,Lohn- und Gehaltsempfänger Anzahl,Waren- und Dienstleistungskäufe Mill. EUR,Bruttolöhne und -gehälter Mill. EUR,Aufwendungen für Leiharbeitnehmer Mill. EUR,Unternehmen (EU) Anzahl,Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust. Mill. EUR,Sozialversicherungskosten Mill. EUR,Tätige Personen Anzahl,Bruttoinvestitionen in Sachanlagen Mill. EUR,Bruttobetriebsüberschuss Mill. EUR,Lohn- und Gehaltsempfänger in Vollzeiteinheiten Anzahl,Personalaufwendungen Mill. EUR,Produktionswert Mill. EUR
3678,10808,2020,Bergbau und Gewinnung von Steinen und Erden,36663,7013,1776,76,1663,1653,412,37952,856,1490,34516,2188,9114
610032,2206952,2020,Verarbeitendes Gewerbe,7690619,1560143,375997,14874,220608,335474,83862,7884526,68154,150174,7218244,459858,1879293
59709,582226,2020,Energieversorgung,296994,517953,18122,231,62531,6217,5137,381463,20388,36450,281487,23259,577782
31264,73471,2020,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",308066,42437,12638,367,10009,2364,3165,310488,9433,15460,287701,15804,71532
140230,373864,2020,Baugewerbe,2294823,227470,73047,45,393852,6751,20715,2633988,11079,46469,2019327,93761,360274
330288,2119184,2020,"Handel, Instandhaltung und Reparatur von Kfz",5985777,1798232,170202,5353,542120,1560324,35414,6513411,29109,124671,4730688,205617,582829
106327,311077,2020,Verkehr und Lagerei,2115474,205968,62679,2797,98486,96069,14821,2217268,28264,28828,1755349,77500,216563
33585,62044,2020,Gastgewerbe,1614688,34941,17386,425,214558,1157,4475,1858245,3337,11724,1082869,21860,62754
138196,300580,2020,Information und Kommunikation,1348253,171606,72245,803,120459,80088,14707,1478709,15417,51244,1170896,86952,223500
65951,121251,2020,Grundstücks- und Wohnungswesen,315170,53922,11351,151,157593,21403,2373,500367,42667,52227,257693,13724,101424
173145,321218,2020,"Freiberufliche, wiss. u. techn. Dienstleistungen",2037918,153221,94463,826,451336,61623,18268,2538446,11570,60414,1722372,112731,263040
