Bruttowertschöpfung zu Faktorkosten Mill. EUR,Umsatz Mill. EUR,Jahr,WZ2008 (1-4-Steller): Unternehmensstatistik,Lohn- und Gehaltsempfänger Anzahl,Waren- und Dienstleistungskäufe Mill. EUR,Bruttolöhne und -gehälter Mill. EUR,Aufwendungen für Leiharbeitnehmer Mill. EUR,Unternehmen (EU) Anzahl,Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust. Mill. EUR,Sozialversicherungskosten Mill. EUR,Tätige Personen Anzahl,Bruttoinvestitionen in Sachanlagen Mill. EUR,Bruttobetriebsüberschuss Mill. EUR,Lohn- und Gehaltsempfänger in Vollzeiteinheiten Anzahl,Personalaufwendungen Mill. EUR,Produktionswert Mill. EUR
3678,10808,2020,Bergbau und Gewinnung von Steinen und Erden,36663,7013,1776,76,1663,1653,412,37952,856,1490,34516,2188,9114
3092,8198,2020,"Gewinnung von Steinen und Erden, sonstiger Bergbau",29883,5011,1288,66,1499,832,291,31101,722,1514,27914,1579,7333
2716,7123,2020,"Gewinnung von Natursteinen,Kies,Sand,Ton u. Kaolin",25963,4329,1113,61,1347,723,248,27099,650,1355,24255,1361,6377
1246,3608,2020,"Gew. von Natursteinen,Kalk-u.Gipsstein,Kreide usw",11654,2321,516,47,415,564,117,12004,247,613,10910,632,3033
1470,3515,2020,"Gewinnung von Kies, Sand, Ton und Kaolin",14309,2008,597,13,932,159,132,15095,403,742,13345,728,3344
376,1074,2020,"Sonst. Bergbau, Gewinnung v.Steinen u.Erden a.n.g.",3920,682,175,6,152,110,42,4003,71,159,3659,218,956
131,445,2020,Torfgewinnung,1609,307,65,2,87,90,14,1667,28,52,1482,79,350
56,126,2020,Dienstleistungen für den sonstigen Bergbau usw,625,69,21,0,71,0,4,657,3,30,569,26,126
610032,2206952,2020,Verarbeitendes Gewerbe,7690619,1560143,375997,14874,220608,335474,83862,7884526,68154,150174,7218244,459858,1879293
42010,195020,2020,Herstellung von Nahrungs- und Futtermitteln,840974,152962,23086,1829,26739,22614,5317,874312,5481,13606,703969,28404,172874
9453,54167,2020,Schlachten und Fleischverarbeitung,206008,44665,5105,906,9272,4614,1067,217933,910,3282,175742,6172,49613
